NIVEL_ACCESO,GRADO_MERCADO,SUPERFICIE_HA,DEPARTAMEN,PROVINCIA,DISTRITO
ALTA,OPTIMA,0.95,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,11.55,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.73,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,26.55,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.55,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,12.46,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.15,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.30,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.25,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.53,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.89,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.03,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.50,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.51,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.12,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.13,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.46,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.21,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,6.06,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.42,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.05,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.42,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.95,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.53,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,25.50,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.09,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.16,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.20,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.16,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,16.68,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.74,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.30,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.79,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.01,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,23.91,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,5.61,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,5.16,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,4.51,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,5.59,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.37,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.28,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.39,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,8.74,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.85,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.93,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.92,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.20,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,6.19,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,278.62,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.02,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.02,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.80,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.14,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.38,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.55,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,10.52,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.90,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.51,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.09,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.39,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.55,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.94,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.35,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.90,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.44,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.89,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.53,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.44,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.86,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.41,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.53,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.43,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.45,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.61,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.88,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.67,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.76,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.26,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.25,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.25,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.25,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.73,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.96,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.70,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.18,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.50,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.13,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.50,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.76,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.02,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.98,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.98,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.49,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.00,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.99,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.93,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.35,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,7.28,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,3.81,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.95,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,0.25,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,2.37,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.13,HUANUCO,AMBO,CONCHAMARCA
ALTA,OPTIMA,1.38,HUANUCO,AMBO,CONCHAMARCA
