NIVEL_ACCESO,GRADO_MERCADO,SUPERFICIE_HA,DEPARTAMEN,PROVINCIA,DISTRITO
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.88,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.19,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.02,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.56,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.50,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.07,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.05,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.89,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.13,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,7.69,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.14,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.42,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,8.60,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.92,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.20,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.55,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,8.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.21,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.52,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.39,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.49,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.63,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.16,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.34,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.41,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.94,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.81,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.79,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.18,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.26,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.21,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.65,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.16,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.19,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.69,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,8.69,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.26,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,7.35,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.37,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,6.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.06,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.79,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.83,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.24,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.36,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.13,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.42,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.67,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.22,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.85,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.28,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.31,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.23,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.14,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.24,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.50,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.61,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.07,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.94,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.06,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.53,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.81,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.49,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.42,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.46,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.45,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.19,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.75,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.24,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.53,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.60,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.16,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.01,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.67,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.32,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.12,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.13,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,23.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.94,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.15,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.65,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.32,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.89,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.87,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.51,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.71,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.92,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.26,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,6.37,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.85,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,13.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.88,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.90,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.38,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.42,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.42,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.76,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.19,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.17,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.71,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.58,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,13.90,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.14,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.88,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.46,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.02,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.91,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.23,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.66,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.22,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.58,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.93,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.24,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.36,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.00,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.89,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.55,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,7.61,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.36,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.40,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.49,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.23,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.50,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.58,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.45,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.01,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.32,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.63,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.00,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.83,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.78,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.20,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.13,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.65,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.31,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.58,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.85,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.28,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.22,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.41,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.71,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.39,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.90,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.29,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.06,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.89,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.21,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.62,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.25,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.88,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.51,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,8.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.97,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,6.56,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,6.41,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.87,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.90,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.13,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.60,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.59,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.07,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.85,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.76,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.88,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.53,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.50,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.72,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.01,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.17,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.44,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.14,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.00,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.17,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.02,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.52,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.35,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.56,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,6.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.96,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.72,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.68,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.64,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.51,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.12,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.01,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.30,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.24,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.25,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.12,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.90,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.40,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.71,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.52,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.91,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.44,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.20,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.67,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.74,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.01,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.08,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.92,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.40,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.72,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.36,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.17,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.61,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.52,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.98,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.15,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.84,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.65,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.59,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,4.31,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.95,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.95,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.53,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.15,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.39,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.39,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,7.75,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.25,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.35,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.87,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.36,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.79,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,11.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.27,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.25,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.81,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.87,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.44,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.81,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.55,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,2.48,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,1.34,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.26,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.22,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.06,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.43,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.69,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,19.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,13.99,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.55,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.55,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.11,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.61,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,1.55,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.37,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.69,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,0.75,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.65,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,0.35,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,2.74,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.25,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,5.64,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.54,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.09,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.51,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.69,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.21,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.39,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.06,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,3.12,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.33,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.10,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.73,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.57,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.80,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.15,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.26,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,7.13,HUANUCO,HUAMALIES,MONZON
MEDIA,MODERADA,11.82,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.83,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,2.04,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.00,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.48,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.51,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,0.03,HUANUCO,HUAMALIES,MONZON
ALTA,OPTIMA,1.65,HUANUCO,HUAMALIES,MONZON
