APTITUD_PI,NOM_DEP,NOM_PROV,NOM_DIST,SUPERFICIE_HA
PROTECCION,CAJAMARCA,JAEN,LAS PIRIAS,1418.364349
PECUARIO,CAJAMARCA,CHOTA,LAJAS,2137.358478
AGRICOLA,ANCASH,CASMA,BUENA VISTA ALTA,2196.28996
AGRICOLA,HUANUCO,AMBO,COLPAS,57.12033309
AGRICOLA,JUNIN,HUANCAYO,HUALHUAS,1188.019463
PROTECCION,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,12009.57477
PROTECCION,JUNIN,HUANCAYO,VIQUES,3.553306716
PROTECCION,CAJAMARCA,CUTERVO,CUTERVO,5163.593968
PROTECCION,ANCASH,RECUAY,PARARIN,25897.63134
PROTECCION,HUANUCO,HUAMALIES,JIRCAN,57.87365731
AGRICOLA,MADRE DE DIOS,TAHUAMANU,IBERIA,34632.28889
AGRICOLA,HUANUCO,PUERTO INCA,YUYAPICHIS,51858.40739
OTROS / SIN CLASIFICAR,JUNIN,CHANCHAMAYO,CHANCHAMAYO,452.1274498
PROTECCION,CAJAMARCA,SANTA CRUZ,CATACHE,19358.43879
FORESTAL PRODUCTIVO,ANCASH,HUARI,RAPAYAN,14551.36596
AGRICOLA,JUNIN,JAUJA,MOLINOS,910.0986455
PROTECCION,CAJAMARCA,CUTERVO,QUEROCOTILLO,38998.1042
PROTECCION,HUANUCO,AMBO,AMBO,2125.715477
PECUARIO,HUANUCO,DOS DE MAYO,LA UNION,6.72366E-06
PROTECCION,ANCASH,POMABAMBA,HUAYLLAN,3483.159796
AGRICOLA,JUNIN,JAUJA,TUNAN MARCA,1455.444887
AGRICOLA,JUNIN,JAUJA,MASMA CHICCHE,288.2153415
OTROS / SIN CLASIFICAR,JUNIN,CHUPACA,TRES DE DICIEMBRE,32.803684
AGRICOLA,PASCO,PASCO,PAUCARTAMBO,7938.177984
PECUARIO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,13987.62335
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,MANGAS,6322.152495
AGRICOLA,HUANUCO,HUANUCO,CHINCHAO,8102.345169
OTROS / SIN CLASIFICAR,JUNIN,SATIPO,PANGOA,3054.057426
PROTECCION,CAJAMARCA,CHOTA,TACABAMBA,2360.962392
PECUARIO,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,4429.700515
PROTECCION,SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,16141.32398
PROTECCION,SAN MARTIN,SAN MARTIN,HUIMBAYOC,76662.61054
PECUARIO,CAJAMARCA,JAEN,COLASAY,7267.833983
FORESTAL PRODUCTIVO,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,29763.60575
PROTECCION,PASCO,PASCO,TINYAHUARCO,161.1614663
PECUARIO,CAJAMARCA,CUTERVO,CUJILLO,21.04460554
PROTECCION,HUANUCO,MARAÑON,SAN BUENAVENTURA,5313.68704
AGRICOLA,MADRE DE DIOS,MANU,HUEPETUHE,16870.47669
AGRICOLA,CAJAMARCA,JAEN,LAS PIRIAS,5096.545552
PECUARIO,PASCO,PASCO,YANACANCHA,2651.57275
PECUARIO,CAJAMARCA,CAJAMARCA,CHETILLA,853.099055
PECUARIO,JUNIN,YAULI,HUAY-HUAY,2397.10382
FORESTAL PRODUCTIVO,SAN MARTIN,LAMAS,SHANAO,2406.138475
FORESTAL PRODUCTIVO,ANCASH,ASUNCION,ACOCHACA,5840.162524
AGRICOLA,CAJAMARCA,CELENDIN,CELENDIN,2853.606045
PROTECCION,JUNIN,CONCEPCION,ORCOTUNA,5.70426727
AGRICOLA,SAN MARTIN,SAN MARTIN,SAUCE,465.1408478
FORESTAL PRODUCTIVO,JUNIN,SATIPO,VIZCATÁN DEL ENE,11.52080632
PECUARIO,CAJAMARCA,CHOTA,COCHABAMBA,1309.681242
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,TINGO DE PONASA,33407.67897
FORESTAL PRODUCTIVO,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,45135.59065
PROTECCION,ANCASH,SANTA,MACATE,58690.13312
PROTECCION,JUNIN,SATIPO,MAZAMARI,113154.8227
PROTECCION,ANCASH,YUNGAY,MATACOTO,2931.070149
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,PUCACACA,17108.7835
FORESTAL PRODUCTIVO,CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,2318.085339
PECUARIO,JUNIN,CONCEPCION,ACO,3073.183367
AGRICOLA,CAJAMARCA,SAN PABLO,SAN BERNARDINO,689.6642029
AGRICOLA,CAJAMARCA,SAN MARCOS,ICHOCAN,1786.524984
OTROS / SIN CLASIFICAR,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,247.5680341
AGRICOLA,CAJAMARCA,CAJAMARCA,COSPAN,7.78681897
PECUARIO,CAJAMARCA,CUTERVO,LA RAMADA,2280.095374
FORESTAL PRODUCTIVO,HUANUCO,HUAMALIES,SINGA,3.33207E-05
AGRICOLA,HUANUCO,PACHITEA,PANAO,4218.067161
PROTECCION,JUNIN,JAUJA,JULCAN,677.6945955
AGRICOLA,ANCASH,HUARMEY,MALVAS,1607.105841
PROTECCION,SAN MARTIN,PICOTA,TINGO DE PONASA,44.91797279
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,SAN HILARION,9994.820594
PROTECCION,HUANUCO,PACHITEA,MOLINO,12999.97962
AGRICOLA,JUNIN,JAUJA,MASMA,896.3173764
AGRICOLA,HUANUCO,LEONCIO PRADO,RUPA-RUPA,12006.35594
AGRICOLA,SAN MARTIN,PICOTA,TINGO DE PONASA,79.10227115
PECUARIO,CAJAMARCA,SANTA CRUZ,SEXI,1579.196718
FORESTAL PRODUCTIVO,PASCO,PASCO,TICLACAYAN,2708.414018
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,SAN CRISTOBAL,2630.835911
PROTECCION,ANCASH,HUARAZ,TARICA,8834.880738
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,TICLLOS,2680.405426
PROTECCION,SAN MARTIN,RIOJA,YURACYACU,53.85784554
AGRICOLA,ANCASH,SIHUAS,SAN JUAN,12406.89139
PROTECCION,SAN MARTIN,BELLAVISTA,HUALLAGA,1969.973522
AGRICOLA,SAN MARTIN,RIOJA,AWAJUN,721.6040904
PECUARIO,HUANUCO,HUANUCO,MARGOS,15950.83423
AGRICOLA,CAJAMARCA,CAJAMARCA,SAN JUAN,16.57618865
PROTECCION,ANCASH,HUARMEY,HUARMEY,276832.2897
FORESTAL PRODUCTIVO,SAN MARTIN,SAN MARTIN,HUIMBAYOC,86160.4545
AGRICOLA,HUANUCO,HUANUCO,YACUS,139.9393738
PROTECCION,CAJAMARCA,JAEN,SAN FELIPE,11249.79679
PECUARIO,HUANUCO,YAROWILCA,JACAS CHICO,26.64846992
AGRICOLA,ANCASH,AIJA,LA MERCED,2820.86892
FORESTAL PRODUCTIVO,HUANUCO,HUAMALIES,MONZON,54429.12824
AGRICOLA,ANCASH,YUNGAY,YUNGAY,2521.949802
OTROS / SIN CLASIFICAR,JUNIN,CHUPACA,HUAMANCACA CHICO,57.00146161
PROTECCION,ANCASH,SIHUAS,RAGASH,18133.89641
PECUARIO,HUANUCO,HUACAYBAMBA,COCHABAMBA,11.40026433
PROTECCION,MADRE DE DIOS,MANU,MANU,780029.985
PROTECCION,CAJAMARCA,CONTUMAZA,SAN BENITO,14961.80851
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,5602.929372
PECUARIO,JUNIN,TARMA,LA UNION,5652.863052
PECUARIO,JUNIN,YAULI,SANTA ROSA DE SACCO,3215.139074
FORESTAL PRODUCTIVO,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,18940.38145
PECUARIO,JUNIN,YAULI,MOROCOCHA,9978.894698
FORESTAL PRODUCTIVO,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,1550.22198
AGRICOLA,SAN MARTIN,MOYOBAMBA,HABANA,80.02400746
PROTECCION,CAJAMARCA,CELENDIN,OXAMARCA,11744.42273
FORESTAL PRODUCTIVO,CAJAMARCA,HUALGAYOC,CHUGUR,832.0830565
PROTECCION,ANCASH,CARHUAZ,CARHUAZ,14174.5779
PECUARIO,CAJAMARCA,HUALGAYOC,CHUGUR,1284.677612
AGRICOLA,JUNIN,YAULI,MARCAPOMACOCHA,16.8274539
PECUARIO,JUNIN,JAUJA,CANCHAYLLO,12773.60313
OTROS / SIN CLASIFICAR,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,645.9428156
PECUARIO,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,39.60396384
AGRICOLA,JUNIN,CHUPACA,HUAMANCACA CHICO,1045.434227
PECUARIO,CAJAMARCA,JAEN,POMAHUACA,20440.06461
AGRICOLA,CAJAMARCA,SAN MIGUEL,SAN GREGORIO,2148.822914
FORESTAL PRODUCTIVO,SAN MARTIN,RIOJA,SAN FERNANDO,6655.229634
PECUARIO,ANCASH,BOLOGNESI,CHIQUIAN,2111.947722
PROTECCION,CAJAMARCA,CELENDIN,CELENDIN,21711.31409
AGRICOLA,PASCO,OXAPAMPA,OXAPAMPA,2069.728995
PECUARIO,JUNIN,YAULI,CHACAPALPA,1520.411606
PROTECCION,CAJAMARCA,CUTERVO,CALLAYUC,8354.052374
FORESTAL PRODUCTIVO,HUANUCO,MARAÑON,SAN BUENAVENTURA,1628.607336
AGRICOLA,SAN MARTIN,TOCACHE,TOCACHE,2598.027283
PROTECCION,ANCASH,BOLOGNESI,HUAYLLACAYAN,11747.36173
AGRICOLA,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,337.0581016
AGRICOLA,ANCASH,OCROS,CONGAS,2865.09659
PECUARIO,HUANUCO,PUERTO INCA,CODO DEL POZUZO,1739.80219
AGRICOLA,SAN MARTIN,MARISCAL CACERES,JUANJUI,1950.090386
AGRICOLA,CAJAMARCA,SANTA CRUZ,CATACHE,1724.038375
FORESTAL PRODUCTIVO,ANCASH,HUARAZ,TARICA,2879.841179
PROTECCION,HUANUCO,MARAÑON,CHOLON,120410.2187
PROTECCION,ANCASH,YUNGAY,SHUPLUY,15576.32438
PECUARIO,ANCASH,RECUAY,TICAPAMPA,3506.862765
AGRICOLA,HUANUCO,HUAMALIES,MONZON,674.3815826
PROTECCION,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,16516.67165
PROTECCION,ANCASH,CASMA,BUENA VISTA ALTA,45847.67463
FORESTAL PRODUCTIVO,SAN MARTIN,MARISCAL CACERES,HUICUNGO,174596.5929
PROTECCION,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,17642.50633
PROTECCION,JUNIN,YAULI,LA OROYA,26581.30492
PROTECCION,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,7854.576446
PROTECCION,ANCASH,CASMA,COMANDANTE NOEL,19072.52226
PROTECCION,CAJAMARCA,SAN MIGUEL,EL PRADO,2932.515323
PECUARIO,JUNIN,JUNIN,ULCUMAYO,25697.2092
OTROS / SIN CLASIFICAR,JUNIN,HUANCAYO,HUAYUCACHI,95.9467657
PROTECCION,HUANUCO,PUERTO INCA,CODO DEL POZUZO,28594.94081
PROTECCION,CAJAMARCA,CHOTA,PACCHA,585.7423621
AGRICOLA,CAJAMARCA,CELENDIN,JOSE GALVEZ,563.575666
AGRICOLA,JUNIN,HUANCAYO,PILCOMAYO,833.2689313
AGRICOLA,SAN MARTIN,LAMAS,ALONSO DE ALVARADO,12.62004401
FORESTAL PRODUCTIVO,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,3.485305729
PROTECCION,ANCASH,CARHUAZ,TINCO,894.5546204
FORESTAL PRODUCTIVO,CAJAMARCA,SAN PABLO,SAN PABLO,6992.550867
PROTECCION,PASCO,OXAPAMPA,CHONTABAMBA,37962.41747
PROTECCION,SAN MARTIN,BELLAVISTA,SAN RAFAEL,19.68795016
PECUARIO,HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,78.58054522
AGRICOLA,SAN MARTIN,RIOJA,SAN FERNANDO,256.549755
PECUARIO,JUNIN,HUANCAYO,CHILCA,56.63867879
PROTECCION,ANCASH,HUARI,SAN MARCOS,47685.27939
PECUARIO,HUANUCO,PACHITEA,MOLINO,8487.305142
FORESTAL PRODUCTIVO,SAN MARTIN,TOCACHE,TOCACHE,92026.50713
FORESTAL PRODUCTIVO,ANCASH,HUARI,PAUCAS,3119.464069
AGRICOLA,SAN MARTIN,RIOJA,YURACYACU,155.8806537
AGRICOLA,CAJAMARCA,SAN PABLO,SAN LUIS,61.2647209
PROTECCION,ANCASH,CARHUAZ,ANTA,2386.509023
AGRICOLA,JUNIN,CHUPACA,YANACANCHA,1602.261783
AGRICOLA,ANCASH,CASMA,YAUTAN,324.8034186
AGRICOLA,CAJAMARCA,SAN IGNACIO,LA COIPA,9832.468599
AGRICOLA,ANCASH,BOLOGNESI,MANGAS,1751.004083
AGRICOLA,PASCO,OXAPAMPA,PALCAZU,212.138287
PECUARIO,CAJAMARCA,CAJABAMBA,CACHACHI,29167.834
PROTECCION,JUNIN,TARMA,HUASAHUASI,56729.19568
AGRICOLA,JUNIN,JAUJA,CURICACA,594.8112021
FORESTAL PRODUCTIVO,CAJAMARCA,SANTA CRUZ,CATACHE,16295.80102
PROTECCION,CAJAMARCA,CHOTA,LLAMA,34728.89706
PECUARIO,JUNIN,HUANCAYO,SAPALLANGA,2297.932414
PROTECCION,SAN MARTIN,MOYOBAMBA,SORITOR,198.7368793
AGRICOLA,HUANUCO,LEONCIO PRADO,PUCAYACU,7393.366173
AGRICOLA,CAJAMARCA,CAJABAMBA,CONDEBAMBA,11305.74032
FORESTAL PRODUCTIVO,CAJAMARCA,CONTUMAZA,CUPISNIQUE,21656.34219
PECUARIO,CAJAMARCA,CELENDIN,SUCRE,10139.22515
FORESTAL PRODUCTIVO,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,4128.739305
FORESTAL PRODUCTIVO,HUANUCO,HUANUCO,YARUMAYO,1738.439592
AGRICOLA,ANCASH,SIHUAS,SICSIBAMBA,6914.3784
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,SANTO TOMAS,9356.349493
FORESTAL PRODUCTIVO,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,38.42776159
PROTECCION,CAJAMARCA,CELENDIN,MIGUEL IGLESIAS,2334.314698
FORESTAL PRODUCTIVO,HUANUCO,HUANUCO,MARGOS,722.3054557
PROTECCION,HUANUCO,HUANUCO,YACUS,290.7421927
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,PALLASCA,10504.19081
PROTECCION,PASCO,PASCO,SIMON BOLIVAR,6236.744319
PROTECCION,ANCASH,HUARAZ,COCHABAMBA,13826.56389
PROTECCION,CAJAMARCA,SAN MARCOS,JOSE SABOGAL,35796.33629
FORESTAL PRODUCTIVO,ANCASH,BOLOGNESI,HUASTA,2310.150722
PROTECCION,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,84771.86033
OTROS / SIN CLASIFICAR,JUNIN,HUANCAYO,HUANCAYO,45.22204702
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MIGUEL,BOLIVAR,1874.244021
AGRICOLA,CAJAMARCA,CAJAMARCA,ENCAÑADA,2263.575282
PROTECCION,ANCASH,HUARI,PONTO,90.51718895
AGRICOLA,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,7246.331994
PROTECCION,ANCASH,PALLASCA,BOLOGNESI,3961.379217
OTROS / SIN CLASIFICAR,JUNIN,HUANCAYO,HUALHUAS,2.833651857
PROTECCION,CAJAMARCA,CHOTA,CHADIN,24.79635396
PECUARIO,CAJAMARCA,CHOTA,CHADIN,2971.502682
FORESTAL PRODUCTIVO,SAN MARTIN,PICOTA,CASPISAPA,6783.347433
PROTECCION,CAJAMARCA,CELENDIN,SUCRE,3844.774866
FORESTAL PRODUCTIVO,CAJAMARCA,SAN MIGUEL,TONGOD,6566.393822
PECUARIO,JUNIN,JAUJA,TUNAN MARCA,1810.642092
FORESTAL PRODUCTIVO,SAN MARTIN,BELLAVISTA,SAN PABLO,34454.6063
PECUARIO,CAJAMARCA,CAJAMARCA,MAGDALENA,15038.21458
AGRICOLA,JUNIN,JUNIN,CARHUAMAYO,186.4302761
AGRICOLA,ANCASH,BOLOGNESI,CAJACAY,531.8502878
AGRICOLA,CAJAMARCA,CAJAMARCA,CAJAMARCA,4307.809669
FORESTAL PRODUCTIVO,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,2122.043949
FORESTAL PRODUCTIVO,SAN MARTIN,EL DORADO,SAN MARTIN,48405.82895
PROTECCION,SAN MARTIN,HUALLAGA,SAPOSOA,2090.724286
FORESTAL PRODUCTIVO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,41814.13826
PECUARIO,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,1858.2809
AGRICOLA,CAJAMARCA,CUTERVO,SOCOTA,3569.658917
PECUARIO,CAJAMARCA,CHOTA,MIRACOSTA,4524.772752
AGRICOLA,SAN MARTIN,RIOJA,YORONGOS,192.3906609
PROTECCION,JUNIN,HUANCAYO,SAÑO,328.862779
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,LAJAS,7602.191957
PROTECCION,PASCO,PASCO,VICCO,2.008906054
PROTECCION,ANCASH,OCROS,LLIPA,3047.28264
AGRICOLA,ANCASH,SANTA,NEPEÑA,7914.228987
PECUARIO,CAJAMARCA,HUALGAYOC,HUALGAYOC,13809.06225
AGRICOLA,JUNIN,YAULI,CHACAPALPA,3618.719448
PROTECCION,CAJAMARCA,JAEN,COLASAY,27291.33908
OTROS / SIN CLASIFICAR,JUNIN,HUANCAYO,VIQUES,33.46820133
PROTECCION,SAN MARTIN,PICOTA,PICOTA,623.5435071
PROTECCION,CAJAMARCA,CAJABAMBA,CACHACHI,25301.77941
PROTECCION,JUNIN,HUANCAYO,PARIAHUANCA,54036.0857
PROTECCION,CAJAMARCA,SAN IGNACIO,LA COIPA,10111.13632
AGRICOLA,CAJAMARCA,CHOTA,CHALAMARCA,12106.99289
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,LACABAMBA,5685.280808
FORESTAL PRODUCTIVO,ANCASH,POMABAMBA,QUINUABAMBA,8119.088823
PECUARIO,CAJAMARCA,CHOTA,SAN JUAN DE LICUPIS,107.5516605
AGRICOLA,JUNIN,HUANCAYO,PUCARA,1897.236656
AGRICOLA,ANCASH,CASMA,CASMA,8728.715585
PECUARIO,JUNIN,JAUJA,PACCHA,5295.289554
PROTECCION,JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,711.4513114
AGRICOLA,PASCO,OXAPAMPA,POZUZO,0.52835411
PROTECCION,ANCASH,PALLASCA,HUACASCHUQUE,364.3646803
PECUARIO,HUANUCO,HUANUCO,YARUMAYO,2181.13256
PROTECCION,HUANUCO,MARAÑON,LA MORADA,11007.04915
AGRICOLA,JUNIN,JAUJA,EL MANTARO,1302.258033
PROTECCION,SAN MARTIN,PICOTA,PILLUANA,5.864112636
FORESTAL PRODUCTIVO,CAJAMARCA,SAN PABLO,SAN LUIS,22.66018086
FORESTAL PRODUCTIVO,ANCASH,HUARI,RAHUAPAMPA,954.757202
AGRICOLA,JUNIN,CONCEPCION,MARISCAL CASTILLA,655.4171728
PROTECCION,JUNIN,SATIPO,RIO NEGRO,36723.06637
PROTECCION,PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,8954.353182
PROTECCION,CAJAMARCA,SAN PABLO,SAN PABLO,2017.865983
PECUARIO,HUANUCO,PACHITEA,UMARI,6961.848232
FORESTAL PRODUCTIVO,HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,42642.52263
AGRICOLA,ANCASH,SIHUAS,HUAYLLABAMBA,7559.334292
FORESTAL PRODUCTIVO,CAJAMARCA,CUTERVO,CALLAYUC,21913.38498
PROTECCION,ANCASH,CARHUAZ,AMASHCA,1320.761089
PROTECCION,ANCASH,RECUAY,TICAPAMPA,8977.624335
PROTECCION,HUANUCO,DOS DE MAYO,LA UNION,1.52865E-05
PROTECCION,SAN MARTIN,PICOTA,PUCACACA,2166.74338
FORESTAL PRODUCTIVO,JUNIN,JUNIN,CARHUAMAYO,1.38914E-06
PECUARIO,CAJAMARCA,CELENDIN,JORGE CHAVEZ,1292.539141
AGRICOLA,CAJAMARCA,CONTUMAZA,CONTUMAZA,1471.565043
AGRICOLA,JUNIN,YAULI,HUAY-HUAY,18.1894078
PROTECCION,JUNIN,HUANCAYO,PUCARA,3518.378962
AGRICOLA,ANCASH,YUNGAY,MATACOTO,1770.955619
AGRICOLA,JUNIN,JAUJA,ACOLLA,2830.398779
AGRICOLA,ANCASH,SANTA,SANTA,2121.591099
FORESTAL PRODUCTIVO,ANCASH,MARISCAL LUZURIAGA,LLUMPA,5729.226893
PECUARIO,HUANUCO,PACHITEA,CHAGLLA,9740.965348
PROTECCION,JUNIN,JUNIN,CARHUAMAYO,7724.753194
PECUARIO,CAJAMARCA,CELENDIN,CORTEGANA,6701.233604
PROTECCION,SAN MARTIN,SAN MARTIN,MORALES,32.71882131
PROTECCION,CAJAMARCA,JAEN,SALLIQUE,23800.1264
PROTECCION,ANCASH,HUARAZ,LA LIBERTAD,13326.39765
AGRICOLA,JUNIN,SATIPO,SATIPO,7733.748616
PROTECCION,ANCASH,ANTONIO RAYMONDI,MIRGAS,8970.919667
AGRICOLA,JUNIN,HUANCAYO,HUAYUCACHI,1015.187357
PECUARIO,CAJAMARCA,CONTUMAZA,SAN BENITO,12026.58048
AGRICOLA,ANCASH,BOLOGNESI,COLQUIOC,1082.977336
PROTECCION,ANCASH,OCROS,CARHUAPAMPA,10656.83291
PROTECCION,CAJAMARCA,SAN MIGUEL,NANCHOC,14441.71656
PROTECCION,ANCASH,AIJA,AIJA,13298.67388
PROTECCION,HUANUCO,HUANUCO,CHINCHAO,49345.95463
PROTECCION,SAN MARTIN,TOCACHE,POLVORA,121477.4179
FORESTAL PRODUCTIVO,SAN MARTIN,LAMAS,TABALOSOS,36035.38
AGRICOLA,ANCASH,POMABAMBA,PAROBAMBA,12926.12696
PECUARIO,CAJAMARCA,CAJAMARCA,ASUNCION,10824.52271
PROTECCION,HUANUCO,HUANUCO,CHURUBAMBA,11148.07765
AGRICOLA,SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,25.86118455
OTROS / SIN CLASIFICAR,JUNIN,JAUJA,SAN LORENZO,168.1107136
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,CHADIN,3434.209463
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,PAMPAS,15264.06547
PECUARIO,CAJAMARCA,CAJAMARCA,LLACANORA,28.7925204
PROTECCION,PASCO,PASCO,HUACHON,82869.81311
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,HUANDOVAL,5023.815629
PROTECCION,HUANUCO,HUAMALIES,ARANCAY,2712.474409
AGRICOLA,SAN MARTIN,LAMAS,TABALOSOS,94.16938133
PROTECCION,ANCASH,CORONGO,ACO,5746.364908
AGRICOLA,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,5464.1702
AGRICOLA,JUNIN,JAUJA,SAN PEDRO DE CHUNAN,625.6691193
FORESTAL PRODUCTIVO,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,515516.8785
FORESTAL PRODUCTIVO,HUANUCO,MARAÑON,LA MORADA,64115.52747
AGRICOLA,CAJAMARCA,CHOTA,HUAMBOS,5295.241137
FORESTAL PRODUCTIVO,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,782.0450351
PROTECCION,JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,18311.51922
PROTECCION,CAJAMARCA,SAN MARCOS,GREGORIO PITA,5573.899383
FORESTAL PRODUCTIVO,CAJAMARCA,CHOTA,HUAMBOS,2580.521739
FORESTAL PRODUCTIVO,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,6668.748154
OTROS / SIN CLASIFICAR,HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,75.80100567
AGRICOLA,HUANUCO,PACHITEA,UMARI,458.5585759
OTROS / SIN CLASIFICAR,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,1404.551211
AGRICOLA,JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,29.19022591
AGRICOLA,CAJAMARCA,SAN MIGUEL,UNION AGUA BLANCA,268.9952233
AGRICOLA,CAJAMARCA,SAN MIGUEL,CATILLUC,28.02355774
OTROS / SIN CLASIFICAR,JUNIN,JAUJA,EL MANTARO,56.18525392
AGRICOLA,CAJAMARCA,CUTERVO,TORIBIO CASANOVA,2299.261028
AGRICOLA,SAN MARTIN,PICOTA,PICOTA,1768.893382
PECUARIO,CAJAMARCA,CHOTA,PACCHA,9197.592283
PECUARIO,CAJAMARCA,CUTERVO,QUEROCOTILLO,26246.49233
PROTECCION,CAJAMARCA,CELENDIN,UTCO,5522.331433
PROTECCION,PASCO,OXAPAMPA,HUANCABAMBA,113269.1881
PROTECCION,CAJAMARCA,CHOTA,CHOROPAMPA,9481.604554
AGRICOLA,SAN MARTIN,PICOTA,BUENOS AIRES,552.8088627
AGRICOLA,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,1152.136387
PROTECCION,CAJAMARCA,CELENDIN,HUASMIN,9575.828504
PECUARIO,JUNIN,JAUJA,PARCO,2041.525383
AGRICOLA,CAJAMARCA,CONTUMAZA,SAN BENITO,12469.27178
PECUARIO,JUNIN,YAULI,LA OROYA,9844.480144
PROTECCION,ANCASH,SANTA,SAMANCO,9178.349182
PECUARIO,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,1251.44459
PROTECCION,HUANUCO,LAURICOCHA,QUEROPALCA,13137.54966
AGRICOLA,CAJAMARCA,CHOTA,TACABAMBA,2409.182587
PROTECCION,HUANUCO,PUERTO INCA,TOURNAVISTA,22079.44813
PROTECCION,CAJAMARCA,CUTERVO,SANTO TOMAS,1777.191844
FORESTAL PRODUCTIVO,ANCASH,PALLASCA,CABANA,5767.125722
FORESTAL PRODUCTIVO,PASCO,OXAPAMPA,OXAPAMPA,1920.613366
PROTECCION,HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,55742.78646
PROTECCION,PASCO,OXAPAMPA,POZUZO,71655.63269
AGRICOLA,SAN MARTIN,MARISCAL CACERES,PAJARILLO,1076.310342
AGRICOLA,ANCASH,HUAYLAS,CARAZ,2965.494672
FORESTAL PRODUCTIVO,ANCASH,POMABAMBA,HUAYLLAN,5393.305477
PROTECCION,SAN MARTIN,EL DORADO,SANTA ROSA,119.4433182
PROTECCION,ANCASH,OCROS,ACAS,24243.03403
AGRICOLA,SAN MARTIN,BELLAVISTA,BAJO BIAVO,967.0931648
AGRICOLA,JUNIN,JAUJA,HUAMALI,1037.067126
FORESTAL PRODUCTIVO,JUNIN,SATIPO,LLAYLLA,289.3727648
FORESTAL PRODUCTIVO,PASCO,PASCO,TINYAHUARCO,3751.425124
OTROS / SIN CLASIFICAR,HUANUCO,LEONCIO PRADO,RUPA-RUPA,921.9542908
PROTECCION,HUANUCO,LEONCIO PRADO,PUCAYACU,44630.49323
PECUARIO,ANCASH,PALLASCA,TAUCA,2164.364065
AGRICOLA,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,1825.060545
AGRICOLA,JUNIN,HUANCAYO,HUANCAYO,2241.5613
AGRICOLA,SAN MARTIN,SAN MARTIN,CHIPURANA,2294.880148
AGRICOLA,HUANUCO,MARAÑON,HUACRACHUCO,3151.018174
PROTECCION,JUNIN,HUANCAYO,COLCA,3505.385971
