REGIÓN,N° CERTIFICADOS,SUP. PRODUCCIÓN (Ha),SUP. PROTECCIÓN (Ha),SUP. RESTAURACIÓN (Ha),TOTAL (Ha)
SAN MARTÍN,441,1.27,"1,320.81",0,"1,322.08"
HUÁNUCO,107,132.68,786.53,167.58,"1,086.79"
PASCO,67,715.68,208.46,0,924.14
CAJAMARCA,64,1.02,486.41,0,487.43
JUNÍN,88,270.5,2.65,0,273.14
ÁNCASH,38,212.13,0,0,212.13
MADRE DE DIOS,8,165.19,0,0,165.19
